product_category_name_english,Total_price
health_beauty,1441248
watches_gifts,1305542
bed_bath_table,1241682
sports_leisure,1156656
computers_accessories,1059272
furniture_decor,902512
housewares,778398
cool_stuff,719330
auto,685384
garden_tools,584219
toys,561373
baby,480118
perfumery,453339
telephony,394883
office_furniture,342533
stationery,277742
pet_shop,253877
computers,232799
musical_instruments,210137
others,207705
electronics,206825
small_appliances,206669
fashion_bags_accessories,184274
consoles_games,177293
luggage_accessories,170875
construction_tools_construction,165328
home_appliances_2,123918
home_construction,96920
home_appliances,94990
furniture_living_room,86885
agro_industry_and_commerce,78374
home_confort,67073
fixed_telephony,64221
air_conditioning,61774
kitchen_dining_laundry_garden_furniture,58328
audio,56399
books_general_interest,56052
small_appliances_home_oven_and_coffee,50194
construction_tools_lights,48664
industry_commerce_and_business,47554
construction_tools_safety,44464
food,36664
market_place,33835
costruction_tools_garden,31027
fashion_shoes,28482
art,28248
drinks,28170
signaling_and_security,28017
furniture_bedroom,24661
books_technical,23379
food_drink,19687
costruction_tools_tools,17934
fashion_male_clothing,12950
christmas_supplies,12030
fashion_underwear_beach,11458
tablets_printing_image,8755
cine_photo,8190
dvds_blu_ray,7288
music,6725
furniture_mattress_and_upholstery,5999
books_imported,5410
party_supplies,5313
portable_kitchen_food_processors,4278
fashio_female_clothing,3425
fashion_sport,2698
la_cuisine,2389
arts_and_craftmanship,2184
diapers_and_hygiene,2141
pc_gamer,1680
flowers,1599
home_comfort_2,1171
cds_dvds_musicals,955
fashion_childrens_clothes,665
security_and_services,325
