product_category_name_english,"COUNT(DISTINCT seller_id)"
health_beauty,492
sports_leisure,481
housewares,468
auto,383
furniture_decor,370
computers_accessories,287
cool_stuff,267
others,257
toys,252
baby,244
garden_tools,237
bed_bath_table,196
perfumery,175
stationery,173
telephony,149
electronics,149
pet_shop,137
construction_tools_construction,128
small_appliances,105
watches_gifts,101
fashion_bags_accessories,99
consoles_games,82
luggage_accessories,73
musical_instruments,70
home_construction,68
market_place,59
food,58
furniture_living_room,56
books_general_interest,54
kitchen_dining_laundry_garden_furniture,52
air_conditioning,52
fixed_telephony,49
home_appliances,48
signaling_and_security,46
home_appliances_2,46
construction_tools_lights,37
drinks,36
audio,36
art,36
construction_tools_safety,35
agro_industry_and_commerce,34
office_furniture,34
food_drink,34
costruction_tools_garden,33
industry_commerce_and_business,29
books_technical,26
costruction_tools_tools,24
furniture_bedroom,23
home_confort,20
music,19
christmas_supplies,17
fashion_shoes,15
small_appliances_home_oven_and_coffee,15
cine_photo,14
arts_and_craftmanship,13
fashion_male_clothing,13
party_supplies,12
fashio_female_clothing,11
fashion_sport,10
dvds_blu_ray,10
fashion_underwear_beach,9
computers,9
diapers_and_hygiene,8
books_imported,7
tablets_printing_image,6
furniture_mattress_and_upholstery,5
portable_kitchen_food_processors,5
fashion_childrens_clothes,4
home_comfort_2,4
flowers,3
pc_gamer,2
security_and_services,2
la_cuisine,2
cds_dvds_musicals,1
