product_category_name_english,"COUNT(DISTINCT seller_id)",round(SUM(price))
health_beauty,492,1258681
sports_leisure,481,988049
housewares,468,632249
auto,383,592720
furniture_decor,370,729762
computers_accessories,287,911954
cool_stuff,267,635291
others,257,179535
toys,252,483947
baby,244,411765
garden_tools,237,485256
bed_bath_table,196,1036989
perfumery,175,399125
stationery,173,230943
telephony,149,323668
electronics,149,160247
pet_shop,137,214315
construction_tools_construction,128,144678
small_appliances,105,190649
watches_gifts,101,1205006
fashion_bags_accessories,99,152824
consoles_games,82,157465
luggage_accessories,73,140430
musical_instruments,70,191499
home_construction,68,83088
market_place,59,28378
food,58,29393
furniture_living_room,56,68917
books_general_interest,54,46857
kitchen_dining_laundry_garden_furniture,52,46328
air_conditioning,52,55025
fixed_telephony,49,59583
home_appliances,48,80172
signaling_and_security,46,21509
home_appliances_2,46,113318
construction_tools_lights,37,41080
drinks,36,22429
audio,36,50688
art,36,24203
construction_tools_safety,35,40545
agro_industry_and_commerce,34,72530
office_furniture,34,273961
food_drink,34,15179
costruction_tools_garden,33,25716
industry_commerce_and_business,29,39670
books_technical,26,19096
costruction_tools_tools,24,15904
furniture_bedroom,23,20029
home_confort,20,58572
music,19,6034
christmas_supplies,17,8801
fashion_shoes,15,23563
small_appliances_home_oven_and_coffee,15,47446
cine_photo,14,6933
arts_and_craftmanship,13,1814
fashion_male_clothing,13,10798
party_supplies,12,4485
fashio_female_clothing,11,2804
fashion_sport,10,2120
dvds_blu_ray,10,5999
fashion_underwear_beach,9,9542
computers,9,222963
diapers_and_hygiene,8,1568
books_imported,7,4640
tablets_printing_image,6,7528
furniture_mattress_and_upholstery,5,4368
portable_kitchen_food_processors,5,3969
fashion_childrens_clothes,4,570
home_comfort_2,4,760
flowers,3,1110
pc_gamer,2,1546
security_and_services,2,283
la_cuisine,2,2055
cds_dvds_musicals,1,730
